chunks,pages
"Tax ID: 86-7530911
original:
Name: Community Support Integrity Unit Phone Number: (888) 777-8888 /
1-888-777-8888 Phone Number (TTY): (800) 444-5555 / 1-800-444-5555 Website:
https://www.communitysupportwatch.org
replace:
Name: Community Support Integrity Unit Phone Number: (888) 777-8888 /
1-888-777-8888 Phone Number (TTY): (800) 444-5555 / 1-800-444-5555
Website: https://www.communitysupportwatch.org
original:
Name: Arthur Pendragon Phone Number: (800) 555-0199 (Associated with Avalon
Benefits Department)
replace:
Name: Arthur Pendragon
Phone Number: (800) 555-0199 (Associated with
Avalon Benefits Department)
original:
Name: GREAT LAKES FINANCIAL SERVICES (No specific contact details provided)
replace:
Name: GREAT LAKES FINANCIAL SERVICES
",117.0
"GREAT LAKES FINANCIAL SERVICES
",117.0
"(No specific contact details provided)
original:
Name: Caring Hands Assistance Group Address: 456 Maple Ln, Serenity Creek, CA
90210
replace:
Name: Caring Hands Assistance Group
Address: 456 Maple Ln, Serenity Creek, CA 90210
original:
Name: BRIGHT STAR COMMUNITY SERVICES Address: 1420 E 48th St, Chicago, IL
60615
replace:
Name: BRIGHT STAR COMMUNITY SERVICES
Address: 1420 E 48th St, Chicago, IL 60615
original:
Name: Community Support Services LLC Address: 456 Oak Avenue, Suite 201,
Anytown, CA 90210
replace:
Name: Community Support Services LLC
",118.0
"Address: 456 Oak Avenue, Suite 201, Anytown, CA
90210
original:
Name: Zenith Solutions Group Inc. Address: CHICAGO, IL 60602
replace:
Name: Zenith Solutions Group Inc.
Address: CHICAGO, IL 60602
original:
Name: GLOBAL IMPORTS LTD. Address: CHICAGO, IL 60601
replace:
Name: GLOBAL IMPORTS LTD.
Address: CHICAGO, IL 60601
original:
Name: Dr. Elias Müller (Berlin Heart Clinic listing) Address: Kaiser-Wilhelm-Allee
10, 12103 Berlin, Germany Phone Number: +49 30 12345678 Other ID:
DE9876543210 (Listed under Berlin Heart Clinic)
replace:
Name: Dr. Elias Müller (Berlin Heart Clinic listing) Address: Kaiser-Wilhelm-Allee
10, 12103 Berlin, Germany Phone Number: +49 30 12345678
",119.0
"Other ID: DE9876543210 (Listed under Berlin Heart
Clinic)
original:
Name: Maria Rodriguez / MARIA RODRIGUEZ Associated with: Summit
Community Services (Denver, Colorado)
replace:
Name: Maria Rodriguez / MARIA RODRIGUEZ
Associated with: Summit Community Services
(Denver, Colorado)
original:
Name: Community Outreach Center of America Address: Chicago, Illinois
replace:
Name: Community Outreach Center of America
Address: Chicago, Illinois
original:
Name: Compassionate Care Support Services Address: 123 Wellness Way, Detroit,
Michigan
replace:
Name: Compassionate Care Support Services
",120.0
"Address: 123 Wellness Way, Detroit, Michigan
original:
Name: Wellness Solutions Group Address: Phoenix, Arizona
replace:
Name: Wellness Solutions Group
Address: Phoenix, Arizona
original:
Name: Alliance Care Services Address: 789 Compass Way, Northwood, Ohio
replace:
Name: Alliance Care Services
Address: 789 Compass Way, Northwood, Ohio
original:
Service Provider Information
Name: Community Support Services Inc. Address: 456 Oak Avenue, Suite 201,
Atlanta, GA
replace:
Service Provider Information
Name: Community Support Services Inc.
",121.0
"Address: 456 Oak Avenue, Suite 201, Atlanta, GA
original:
Name: Benevolent Aid Services Address: 789 Welfare Ave, Communityville, CA
90210
replace:
Name: Benevolent Aid Services
Address: 789 Welfare Ave, Communityville, CA
90210
original:
Name: Zenith Assurance Group Address: 100 Horizon Drive, Suite 500, Cityville, ST
98765
replace:
Name: Zenith Assurance Group
Address: 100 Horizon Drive, Suite 500, Cityville, ST
98765
original:
Name: Alliance Wellness Solutions Address: Oak Brook, IL
replace:
Name: Alliance Wellness Solutions
",122.0
"Address: Oak Brook, IL
original:
Name: Anya Sharma, NP / ANYA S SHARMA NP / ANYA N SHARMA NP Phone
Number: 555-123-4567 (listed under Metro Health Clinic) Associated with: City
General Hospital, Metro Health & Wellness Center
replace:
Name: Anya Sharma, NP / ANYA S SHARMA NP / ANYA N SHARMA NP Phone
Number: 555-123-4567 (listed under Metro Health Clinic)
Associated with: City General Hospital, Metro
Health & Wellness Center
original:
Name: Dr. Alistair Finch / Alistair Finch MD Role: Lead Physician / Neurologist
Associated with: Maplewood General Hospital, Northwood Neuroscience Center,
City Memorial Clinic
replace:
Name: Dr. Alistair Finch / Alistair Finch MD Role: Lead Physician / Neurologist
Associated with: Maplewood General Hospital,
Northwood Neuroscience Center, City Memorial
Clinic",123.0
" Maplewood General Hospital,
Northwood Neuroscience Center, City Memorial
Clinic
original:
Name: David Lee, LSW / LEE, DAVID LSW Associated with: Community Support
Services, Family Wellness Center
",123.0
"replace:
Name: David Lee, LSW / LEE, DAVID LSW
Associated with: Community Support Services,
Family Wellness Center
original:
Name: Sarah Jenkins RN / SARAH JENKINS RN Associated with: City General
Hospital, Metro Health Center
replace:
Name: Sarah Jenkins RN / SARAH JENKINS RN
Associated with: City General Hospital, Metro
Health Center
original:
Name: Seraphina Dubois / SERAPHINA DUBOIS Associated with: Saint Jude's
Wellness Clinic
replace:
Name: Seraphina Dubois / SERAPHINA DUBOIS
Associated with: Saint Jude's Wellness Clinic
original:
Name: Dr. Anya Sharma, PhD, LCSW Associated with: Serenity Mental Wellness
Clinic
",124.0
"replace:
Name: Dr. Anya Sharma, PhD, LCSW
Associated with: Serenity Mental Wellness Clinic
original:
Name: Arthur Ford RN / FORD RN, ARTHUR Associated with: Evergreen General
Hospital, Riverwood Medical Center
replace:
Name: Arthur Ford RN / FORD RN, ARTHUR
Associated with: Evergreen General Hospital,
Riverwood Medical Center
original:
Name: Dr. Elara Vance Phone Number: 555-0101 Associated with: New Leaf
Wellness Clinic
replace:
Name: Dr. Elara Vance Phone Number: 555-0101
Associated with: New Leaf Wellness Clinic
original:
Name: Clara Bennett / BENNETT, CLARA Associated with: St. Jude's Medical Center,
Community Health Clinic of Eastside
replace:
Name: Clara Bennett / BENNETT, CLARA
",125.0
"Associated with: St. Jude's Medical Center,
Community Health Clinic of Eastside
original:
Name: Eleanor Vance, NP Phone Number: Ext. 4321 Associated with: City General
Medical Center
replace:
Name: Eleanor Vance, NP Phone Number: Ext. 4321
Associated with: City General Medical Center
original:
Name: Eleanor Vance, LCSW / VANCE, ELEANOR LCSW Associated with:
Havenwood Community Clinic
replace:
Name: Eleanor Vance, LCSW / VANCE, ELEANOR LCSW
Associated with: Havenwood Community Clinic
original:
Name: Dr. Evelyn Reed MD Phone Number: (555) 123-4567 Ext. 8910 Associated
with: Saint Jude's Medical Center
replace:
Name: Dr. Evelyn Reed MD Phone Number: (555) 123-4567 Ext. 8910
",126.0
"Associated with: Saint Jude's Medical Center
original:
Name: Dr. Elias Thorne / THORNE MD-Physician, ELIAS Phone Number:
Extension# 5501 Associated with: Blackwood General Hospital
replace:
Name: Dr. Elias Thorne / THORNE MD-Physician, ELIAS Phone Number:
Extension# 5501
Associated with: Blackwood General Hospital
original:
Name: Dr. Liam O'Connell MD / O'CONNELL MD, LIAM / O'CONNELL Associated
with: Cedar Ridge Hospital
replace:
Name: Dr. Liam O'Connell MD / O'CONNELL MD, LIAM / O'CONNELL
Associated with: Cedar Ridge Hospital
original:
Name: Dr. Elias Thorne MD / THORNE MD, ELIAS Associated with: St. Jude's
Children's Research Center
replace:
Name: Dr. Elias Thorne MD / THORNE MD, ELIAS
",127.0
"Associated with: St. Jude's Children's Research
Center
original:
Name: Anastasia Petrova RN / PETROVA RN, ANASTASIA Associated with: St.
Michael's Medical Center
replace:
Name: Anastasia Petrova RN / PETROVA RN, ANASTASIA
Associated with: St. Michael's Medical Center
original:
Name: Mark Anthony Johnson RN / JOHNSON RN, MARK ANTHONY Associated
with: Community Wellness Clinic
replace:
Name: Mark Anthony Johnson RN / JOHNSON RN, MARK ANTHONY
Associated with: Community Wellness Clinic
original:
Name: Sarah Johnson LCSW / JOHNSON LCSW, SARAH Associated with: Beacon
Street Family Services
replace:
Name: Sarah Johnson LCSW / JOHNSON LCSW, SARAH
",128.0
"Associated with: Beacon Street Family Services
original:
Name: Clara Barton RN / BARTON RN,CLARA Associated with: St. Jude's
Community Clinic
replace:
Name: Clara Barton RN / BARTON RN,CLARA
Associated with: St. Jude's Community Clinic
original:
Name: Alice Smith PCA Associated with: Northern Hills Medical Center
replace:
Name: Alice Smith PCA
Associated with: Northern Hills Medical Center
original:
Name: Olivia Thompson / THOMPSON, OLIVIA Associated with: Grace Mercy
Community Services
replace:
Name: Olivia Thompson / THOMPSON, OLIVIA
",129.0
"Associated with: Grace Mercy Community Services
original:
Name: Dr. Elias Thorne Phone Number: (313) 555-9876 Associated with: Metro
Wellness Clinic
replace:
Name: Dr. Elias Thorne Phone Number: (313) 555-9876
Associated with: Metro Wellness Clinic
original:
Name: Robert Miller LCSW / Miller, Robert Phone Number: 555-0123 (Office)
Associated with: Community Health Clinic of Oakwood
replace:
Name: Robert Miller LCSW / Miller, Robert Phone Number: 555-0123 (Office)
Associated with: Community Health Clinic of
Oakwood
original:
Name: Clara Benson RN / BENSON RN, CLARA Associated with: Mercy General
Hospital
replace:
Name: Clara Benson RN / BENSON RN, CLARA
",130.0
"Associated with: Mercy General Hospital
original:
Name: Dr. Elias Thorne, PhD, LCSW Associated with: Willow Creek Mental
Wellness Center
replace:
Name: Dr. Elias Thorne, PhD, LCSW
Associated with: Willow Creek Mental Wellness
Center
original:
Name: Dr. Eleanor Vance, MD Phone Number: +1-585-241-0987 Fax Number:
+1-585-365-7890 Associated with: University of Rochester Medical Center
replace:
Name: Dr. Eleanor Vance, MD Phone Number: +1-585-241-0987 Fax Number:
+1-585-365-7890
Associated with: University of Rochester Medical
Center
original:
Name: Dr. Sarah Miller PhD Associated with: Evergreen Health Clinic
replace:
Name: Dr. Sarah Miller PhD
",131.0
"Associated with: Evergreen Health Clinic
original:
Name: Sarah Miller Associated with: Evergreen Social Services
replace:
Name: Sarah Miller
Associated with: Evergreen Social Services
original:
Name: Eleanor Vance, D.O. Associated with: Willow Creek Clinic
replace:
Name: Eleanor Vance, D.O.
Associated with: Willow Creek Clinic
original:
Name: Dr. Anya Sharma, M.D. Associated with: Riverbend Health Clinic
replace:
Name: Dr. Anya Sharma, M.D.
Associated with: Riverbend Health Clinic
original:
Name: Eleanor Vance PhD / VANCE PHD, ELEANOR Associated with: Community
Health Center of Hope
",132.0
"replace:
Name: Eleanor Vance PhD / VANCE PHD, ELEANOR
Associated with: Community Health Center of Hope
original:
Name: Community Health Clinic of Oakwood Phone Number: 734-987-6543
replace:
Name: Community Health Clinic of Oakwood
Phone Number: 734-987-6543
original:
Name: City General Hospital Address: 1500 Elmwood Avenue, Metropolis, CA
90210 Phone Number: 555-123-4567
replace:
Name: City General Hospital Address: 1500 Elmwood Avenue, Metropolis, CA
90210
Phone Number: 555-123-4567
original:
Name: Summit Peak Medical Center Phone Number: +1-720-555-0189
replace:
Name: Summit Peak Medical Center
",133.0
"Phone Number: +1-720-555-0189
original:
Name: Oakwood Springs Medical Center Phone Number: 734-555-0123
replace:
Name: Oakwood Springs Medical Center
Phone Number: 734-555-0123
original:
Name: Evergreen Physical Therapy & Wellness Phone Number: 503-555-0199
Other: Specializing in Post-Injury Rehabilitation
replace:
Name: Evergreen Physical Therapy & Wellness Phone Number: 503-555-0199
Other: Specializing in Post-Injury Rehabilitation
original:
Name: Community Health Clinic Phone Number: 555-123-4567
replace:
Name: Community Health Clinic
Phone Number: 555-123-4567
original:
Name: Community Wellness Center Other ID: 987654321098 (Associated with Dr.
Sanjay Patel)
",134.0
"replace:
Name: Community Wellness Center
Other ID: 987654321098 (Associated with Dr. Sanjay
Patel)
original:
Name: Community Support Advocates Address: 789 Oak Avenue, Anytown, CA
91234 Phone Number: (555) 123-4567 Email: contact@communitysupport.org
replace:
Name: Community Support Advocates Address: 789 Oak Avenue, Anytown, CA
91234 Phone Number: (555) 123-4567
Email: contact@communitysupport.org
original:
Name: Community Support Services Address: 789 Elm Street, Anytown, CA 90210
Phone Number: 5551234567
replace:
Name: Community Support Services Address: 789 Elm Street, Anytown, CA 90210
Phone Number: 5551234567
original:
Name: City Care Pharmacy Address: 101 Elm Street, Anywhere, CA 90210 Phone
Number: (555) 123-4567
",135.0
") 123-4567
",135.0
"replace:
Name: City Care Pharmacy Address: 101 Elm Street, Anywhere, CA 90210 Phone
Number: (555) 123-4567
original:
Name: Aurora Medical Plaza / Imaging Services Address: 789 Oak Avenue,
Clearwater, FL 33755 Phone Number: (727) 555-9876 / (727) AURORA1 Fax
Number: (727) 555-1234
replace:
Name: Aurora Medical Plaza / Imaging Services Address: 789 Oak Avenue,
Clearwater, FL 33755 Phone Number: (727) 555-9876 / (727) AURORA1
Fax Number: (727) 555-1234
original:
Name: Compassionate Care Connect (Client Management System, no specific
contact details)
replace:
Name: Compassionate Care Connect
(Client Management System, no specific contact
details)
original:
Name: GENESIS DIAGNOSTICS Address: 789 Oak Avenue, Suite B, Rivertown, CA
90210 Phone Number: 800-111-2222
",136.0
" Rivertown, CA
90210 Phone Number: 800-111-2222
",136.0
"replace:
Name: GENESIS DIAGNOSTICS Address: 789 Oak Avenue, Suite B, Rivertown, CA
90210
Phone Number: 800-111-2222
original:
Name: Compassionate Care Alliance / Gentle Hands Services Address (Main): 555
Serenity Lane, Suite 100, Harmony Creek, CA 90210 Address (Mail): P.O. Box 789,
Harmony Creek, CA 90211 Phone Number: 800-777-8888 / 310-999-0000 Phone
Number (TTY): 711 Fax Number: 310-999-0001 Email: info@gentlehands.org
Website: www.gentlehands.org
replace:
Name: Compassionate Care Alliance / Gentle Hands Services Address (Main): 555
Serenity Lane, Suite 100, Harmony Creek, CA 90210 Address (Mail): P.O. Box 789,
Harmony Creek, CA 90211 Phone Number: 800-777-8888 / 310-999-0000 Phone
Number (TTY): 711 Fax Number: 310-999-0001 Email: info@gentlehands.org
Website: www.gentlehands.org
origi",137.0
"ber: 310-999-0001 Email: info@gentlehands.org
Website: www.gentlehands.org
original:
Name: Willow Creek Health System (Associated with Unity Care Network, no
specific contact details)
replace:
Name: Willow Creek Health System
",137.0
"(Associated with Unity Care Network, no specific
contact details)
original:
Name: California Department of Social Services (CDSS) Phone Number:
1-800-952-5253 Phone Number (TTY): 1-800-952-8349
replace:
Name: California Department of Social Services (CDSS) Phone Number:
1-800-952-5253
Phone Number (TTY): 1-800-952-8349
original:
Name: Community Outreach and Support Services Alliance Address: 456 Oak
Avenue, Suite 300, Anytown, CA 90210 Phone Number: (555) 123-4567
replace:
Name: Community Outreach and Support Services Alliance Address: 456 Oak
Avenue, Suite 300, Anytown, CA 90210
Phone Number: (555) 123-4567
original:
Name: Community Assistance Program Associated Centers: CAP - Central Branch
(246 Maple Dr, Metropolis, NY 10001), CAP - Riverside Office (789 River Rd,
Metropolis, NY 10002) ",138.0
"ropolis, NY 10001), CAP - Riverside Office (789 River Rd,
Metropolis, NY 10002) Associated with: Department of Human Services
replace:
Name: Community Assistance Program Associated Centers: CAP - Central Branch
(246 Maple Dr, Metropolis, NY 10001), CAP - Riverside Office (789 River Rd,
Metropolis, NY 10002)
",138.0
"Associated with: Department of Human Services
5 of 6: 12B: Acknowledge Notice of Hearing - 504 Page 5 of 5
Arthur Miller BNC#: AD12WE45G67890J 012403050002019 • I will ask you and any
other witnesses questions that will help me make a decision in your case. • We
will make an audio recording of the hearing.
The Decision
After the hearing, I will issue a written decision and mail it to you. The decision
will explain my findings of fact and conclusions of law. I will base my decision on
all the evidence of record, including the testimony at your hearing.
Suspect Social Security Fraud?
Please visit http://inspector-general.nba.gov/report-fraud or call the Community
Support Integrity Unit at 1-800-999- 3000 (TTY 1-866-999-3001).
If You Have Any Questions
If you have any questions, please call, ",139.0
"66-999-3001).
If You Have Any Questions
If you have any questions, please call, (800) 555-0199, or write this office. For your
convenience, our address is on the first page of this notice.
                                                                           
                                                                           
                                                                           
                                                                           
Enclosures: Form HA-504-OP1 (Acknowledgement of Receipt of Notice of Hearing)
cc: Eleanor Rose Walker WALKER ASSOCIATES PC 1789 MAIN STREET STE 201
ANYTOWN, CA 90210
                                                                           
                                                                 ",139.0
"              
                                                                           
NATIONAL BENEFITS AGENCY - T2L PO Box 5002, New Town, KY 40701-0003
OFFICIAL BUSINESS PENALTY FOR PRIVATE USE, $300
",139.0
"ANYTOWN CA 90210 22 FEB 2024 PM 7 L
NO POSTAGE NECESSARY IF MAILED IN THE UNITED STATES
BUSINESS REPLY MAIL FIRST-CLASS MAIL PERMIT NO. 18452 WASHINGTON D.C.
POSTAGE WILL BE PAID BY NATIONAL BENEFITS AGENCY
98765432101
",140.0
"1 of 4: 13B: Notice Of Hearing Reminder - HA503
NATIONAL BENEFITS AGENCY Refer To: Arthur Miller BNC#: AD12WE45G67890J
████████████████████████████████
████████████████████████████████
████████████████████████████████
████████████████████████████████
████████████████████████████████
Arthur Miller 789 OAK AVE CHICAGO, IL 60601
Appeals Division NBA APPEALS DIVISION UNIT B 777 SUBURBAN WAY CITYVILLE,
MI 48009 Tel: (877) 888-7000 / Fax: (833) 555-4000
May 6, 2024
NOTICE OF HEARING-IMPORTANT REMINDER
We recently mailed you a Notice stating the time of the hearing you requested. We
enclosed with your Notice an Acknowledgement Form, which we asked you to
complete and return. If you have not yet returned the Acknowledgement Form,
please call the number listed above and tell us if you plan to come ",141.0
"ement Form,
please call the number listed above and tell us if you plan to come to your
hearing. If you do not plan to come to your hearing, please tell us why you cannot
come.
We expect you to be present at the hearing scheduled for:
Day: Wednesday Date: May 29, 2024 Time: 10:30 AM Eastern (ET)
An administrative law judge (ALJ) will conduct your hearing by telephone. On the
date and at the time listed above, the ALJ will call you at the telephone number in
our file. The number is (773) 555-9876. If this is not the correct telephone number,
please call this office immediately.
On the day of the hearing, we will call you at the telephone number you provided:
If you provided a cell phone number for the hearing, the incoming call will
display as “Capital City, DC.” If you provided a landline ",141.0
"he incoming call will
display as “Capital City, DC.” If you provided a landline phone number, your caller
ID will display as “NBA U.S. Govt.”
If you do not attend the hearing, the ALJ may dismiss your request for hearing,
without further notice, unless he or she finds that you have a good reason for not
attending.
",141.0
"See Next Page
Form HA-L503 (01-2022) Claimant 2 of 4: 13B: Notice Of Hearing Reminder -
HA503
Arthur Miller BNC#: AD12WE45G67890J Page 2 of 2
If you do not understand this notice, or if some unexpected problem arises, please
call this office at (877) 888-7000.
Sincerely,
National Benefits Agency
Enclosures: Form HA-L503 (Notice of Hearing)
cc: Eleanor Rose Walker WALKER ASSOCIATES PC 1789 Main Street STE 201
ANYTOWN, CA 90210
Form HA-L503 (01-2022) Claimant 3 of 4: 13B: Notice Of Hearing Reminder - NBA-
L503
NATIONAL BENEFITS AGENCY NATIONAL BENEFITS AGENCY | Refer To: Arthur
Miller | Appeals Division | | BNC#: AD12WE45G67890J | NBA APPEALS OFFICE |
| [Barcode Placeholder] | Unit B | | | 777 SUBURBAN WAY | | | CITYVILLE, MI
48009 | | | Tel: (877) 888-7000 / Fax: (833) 555-4000 | | | May 6,",142.0
"CITYVILLE, MI
48009 | | | Tel: (877) 888-7000 / Fax: (833) 555-4000 | | | May 6, 2024 |
Arthur Miller 789 Oak Ave Chicago, IL 60601
NOTICE OF HEARING-IMPORTANT REMINDER
We recently mailed you a Notice stating the time of the hearing you requested. We
enclosed with your Notice an Acknowledgement Form, which we asked you to
complete and return. If you have not yet returned the Acknowledgement Form,
please call the number listed above and tell us if you plan to come to your
hearing. If you do not plan to come to your hearing, please tell us why you cannot
come.
We expect you to be present at the hearing scheduled for:
Day: Wednesday Date: May 29, 2024 Time: 10:30 AM Eastern (ET)
An administrative law judge (ALJ) will conduct your hearing by telephone. On the
date and at the time listed above,",142.0
"ill conduct your hearing by telephone. On the
date and at the time listed above, the ALJ will call you at the telephone number in
",142.0
"our file. The number is (773) 555-9876. If this is not the correct telephone number,
please call this office immediately.
On the day of the hearing, we will call you at the telephone number you provided:
If you provided a cell phone number for the hearing, the incoming call will
display as ""Anytown, CA."" If you provided a landline phone number, your caller ID
will display as ""NBA U.S Govt.""
If you do not attend the hearing, the ALJ may dismiss your request for hearing,
without further notice, unless he or she finds that you have a good reason for not
attending.
                                                          See Next Page
                                                          Form NBA-L503 (0
                                                                     Repre
4 of 4: 13",143.0
"                                                                Repre
4 of 4: 13B: Notice Of Hearing Reminder - NB-AD-F101
Arthur Miller BNC#: AD12WE45G67890J Page 2 of 2
If you do not understand this notice, or if some unexpected problem arises, please
call this hearing office at (877) 888-7000.
Enclosures: Form NB-AD-F101 (Notice of Hearing)
                                                                Sincerely,
                                                                National B
cc: Eleanor Rose Walker WALKER ASSOCIATES PC 1789 Main Street Suite 201
Anytown, CA 90210
                                                                       For
                                                                       Rep
",143.0
"            Rep
",143.0
"1 of 1: 14B: Hearing Agreement Form - HRNGAGREEFRM
HEARING FORMAT ELECTION STATEMENT
Claimant Name: Arthur Miller Claimant SSN: 456-12-7890
The undersigned appointed representative has consulted with the above-
referenced claimant, and both the claimant and the representative provide this
statement.
This hearing format election statement replaces all prior statements on this issue.
If documents received in this claim create ambiguity or concern, please contact
the representative prior to scheduling a hearing.
Consent to Online Video Hearing (OVH) (using Microsoft Teams)
[ ] We consent to an online video hearing (OVH) (using Microsoft Teams) and
agree to appear in that manner.
Claimant's Email Address (if different from
representative's email address) (for possible
OVH)
Representative's Ema",144.0
"ent from
representative's email address) (for possible
OVH)
Representative's Email
Address (for possible OVH)
Consent to Telephone
[x] We consent to a telephone hearing and agree to appear in that manner.
Claimant's Number (for possible
telephone hearing)
Representative's Number (for possible
telephone hearing)
(773) 555-9876
310-555-0234
In-Person Only
[ ] We do not consent to a telephone hearing. We do not consent to an online
video hearing (OVH). We ask for an in-person hearing
• 
• 
• 
",144.0
"Objection to Video Teleconference (VTC) (video at an SSA location)
[x] We object to appearing for a hearing by video teleconference (VTC) (video
at an SSA location). The claimant has the right to object to appearing by VTC
within 30 days of receiving the acknowledgement of the request for hearing. 
[x] The claimant has timely objected to VTC (through this submission or
a previous notification).
[ ] The claimant did not timely object to VTC but has good cause for the
late submission, which is:
No Preference
[ ] We have no preference as to hearing format. Please schedule the hearing
in any manner: telephone, OVH, VTC, or in-person
Signed: __ Attorney Eleanor R. Walker
Dated: _5/20/24_
Form NOSSCR-2023-HFES-2
• 
◦ 
◦ 
• 
",145.0
" 
◦ 
• 
",145.0
"1 of 3: 1D: Lead Protective Filing Worksheet - LPFWKSHT
ICLM SUMMARY 456-12-7890 JULY 14, 2022 THIRD PARTY UNSIGNED
APPLICATION Your information was received on July 14, 2022 at 3:07:36 PM.
Identification
Applicant Identification Name: Arthur Miller Social Security Number: --7890 Date
of Birth: May 21, 1965 Gender: Male Blind or low vision: No Disabled: Yes Start
Date of Disability: August 15, 2023 Denied Benefits in Last 60 days: No Diagnosed
with condition that is expected to end in death: No
Preparer's Contact Information Name: Eleanor R Walker Relationship to
Applicant: Attorney Representative Organization Name: Legal Advocates for the
Disabled Address: 1789 Main Street, Suite 201, Anytown, CA, 90210 Phone: (310)
555-0189
Applicant's Contact Information
Contact Information Mailing Addr",146.0
" (310)
555-0189
Applicant's Contact Information
Contact Information Mailing Address: 789 Oak Ave, Chicago, Illinois, 60601 Reside
at this address: Yes Phone: (773) 555-9876 Mobile Best time to call: Anytime
between 9 a.m. and 5 p.m.
Ability to Communicate in English Speak English: Yes Read English: Yes Write
English: Yes
Language Preferences Preferred language for speaking: English Preferred
language for reading: English
Birth and Citizenship Information Place of Birth: Chicago, Illinois U.S. Citizen: Yes
Type of Citizenship: US citizen born inside US
Other Social Security Numbers and Names
Other Social Security Numbers Any other Social Security Numbers used: No
Other Names Any other names used: No
General
Marriage Information Currently married: Yes
Prior Marriages Any prior marriages: Yes",146.0
"iage Information Currently married: Yes
Prior Marriages Any prior marriages: Yes (1)
Back to top 2 of 3: 1D: Lead Protective Filing Worksheet - LPFWKSHT
",146.0
"Children Have any children: Yes Any children who became disabled prior to age
22: Yes Any unmarried children under age 18: No Any unmarried children aged 18
to 19 still attending elementary or secondary school (below college level) full time:
No Child 1: Emily Miller More than 10 children: No
Military Details Military service prior to 1968: No
Employer Details Worked for an employer in 2021: No Worked or will work for an
employer in 2022: No
Self-Employment Details Self-employed in 2021: No Self-employed in 2022: No
Supplemental Information Worked outside the US: No Agree with earnings history
as shown on Social Security statement: Not sure or Arthur Miller does not have a
statement
Total Earnings Neither working for an employer nor self-employed in 2021 or
later, last year worked: 2020
Ot",147.0
"ng for an employer nor self-employed in 2021 or
later, last year worked: 2020
Other Pensions/Annuities Ever work in a job where U.S. Social Security taxes were
not deducted or withheld: No
Direct Deposit Details Own or co-own a bank account to use for Direct Deposit: No
Other Benefits Benefit Information Intend to apply for Supplemental Security
Income benefits: Yes Any previous application(s) for Medicare, Social Security, or
Supplemental Security Income benefits: No
Ability To Work Illnesses, injuries, conditions related to work: No Now able to
work: No
Disability Payments Filed or intend to file for workers' compensation or other
public disability benefits: No Received money from employer on/after date unable
to work: No Expect to receive money from employer in the future: No
Dependents",147.0
"e
to work: No Expect to receive money from employer in the future: No
Dependents Has one parent who receives one-half support: No
Remarks & Options Remarks The following are your remarks: Arthur Miller will
contact NBA to Discuss 3 of 3: 1D: Lead Protective Filing Worksheet - LPFWKSHT
           applying for SSI. Please forward a BARCODE to our office so we 
           updated medical records. Thank you
Back to top
",147.0
"456-12-7890 Page 11 of 13
My Responsibilities
I agree to notify National Benefits Agency promptly if I (or anyone for whom I
receive benefits)
become employed or self-employed while outside the U.S.,
change citizenship, or
go (for 30 days or more) to any country other than the residence address
shown on this application.
I agree to return any payments that are not due.
I declare under penalty of perjury that I have examined all the information on
this application and it is true and correct to the best of my knowledge.
Signature: Arthur Miller Date: 07-27-2022
Witnesses are required only if this application has been signed by mark (x) above.
If signed by (x), two witnesses to the signing who know the applicant must sign
below, giving their full addresses.
Signature of Witness Signature of W",148.0
"ust sign
below, giving their full addresses.
Signature of Witness Signature of Witness -------------------- --------------------
Number and Street Address Number and Street Address -------------------------
-------------------------
City, State and ZIP Code City, State and ZIP Code ------------------------ ------------------------
This form should be submitted to the address shown on your notice.
1234C567X890123 FAKEFILENAME.TXT 999888777
123456789012345678901234567890
Back to top 2 of 13: 2D: Internet: Third-Party Filers Wet Signature Page -
3RDPTYWETSIG Page 12 of 13 456000890
Privacy Act Statement
Collection and Use of Personal Information
Sections 202(a), 205(a), 1631(e) and 1872 of the National Benefits Agency Act, as
amended, allow us to collect this information. Furnishing us this i",148.0
"ency Act, as
amended, allow us to collect this information. Furnishing us this information is
• 
• 
• 
",148.0
"voluntary. However, failing to provide all or part of the information may prevent
an accurate and timely decision on any claim filed and could result in the loss of
some benefits.
We will use the information to make a determination of eligibility for benefits for
you and your dependents. We may also share your information for the following
purposes, called routine uses:
To State audit agencies for auditing State supplementation payments and
Medicaid eligibility considerations;
To third party contacts where necessary to establish or verify information
provided by representative payees or payee applicants;
To a National Benefits Agency beneficiary or claimant when a claim is filed
by another individual on the same record which is adverse to the
beneficiary, but only information concerning th",149.0
"e record which is adverse to the
beneficiary, but only information concerning the facts relevant to the
interests of each party in a claim; and
To Federal, State or local agencies for administering cash or non-cash income
maintenance or health maintenance programs.
In addition, we may share this information in accordance with the Privacy Act
and other Federal laws. For example, where authorized, we may use and disclose
this information in computer matching programs, in which our records are
compared with other records to establish or verify a person's eligibility for
Federal benefit programs and for repayment of incorrect or delinquent debts
under these programs.
A list of additional routine uses is available in our Privacy Act System of Records
Notices (SORNs) 60-0059, entitled Earnings R",149.0
